kpi_id,project_id,project_name,kpi_date,budget_variance_percentage,schedule_variance_days,quality_score,safety_incidents,client_satisfaction_score,team_productivity_percentage,cost_performance_index,schedule_performance_index,risk_level
KPI234,P018,Complexe Administratif,2025-10-31,0.4,-6,91.8,0,4.2,89.6,1.008,1.044,Low
KPI235,P018,Complexe Administratif,2025-11-30,0.53,-5,92.4,0,4.2,90.1,1.012,1.042,Low
KPI236,P018,Complexe Administratif,2025-12-31,0.44,-5,92.4,2,4.2,89.7,1.016,1.05,Low
KPI237,P018,Complexe Administratif,2026-01-31,0.33,-6,92.7,0,4.2,90.2,1.018,1.057,Low
KPI238,P018,Complexe Administratif,2026-02-28,0.3,-8,93.0,0,4.2,89.4,1.017,1.05,Low
KPI239,P019,Mosquée Communautaire,2025-02-28,-0.47,3,94.3,0,4.8,92.0,1.003,0.996,Low
KPI240,P019,Mosquée Communautaire,2025-03-31,-0.53,3,94.3,0,4.8,91.6,1.002,1.001,Low
KPI241,P019,Mosquée Communautaire,2025-04-30,-0.55,2,94.5,0,4.8,91.3,0.997,1.001,Low
KPI242,P019,Mosquée Communautaire,2025-05-31,-0.52,2,94.9,0,4.9,92.6,0.994,0.998,Low
KPI243,P019,Mosquée Communautaire,2025-06-30,-0.55,3,94.8,0,4.9,92.8,0.998,0.993,Low
KPI244,P019,Mosquée Communautaire,2025-07-31,-0.61,4,94.3,0,4.9,92.7,0.998,0.995,Low
KPI245,P019,Mosquée Communautaire,2025-08-31,-0.54,4,94.2,0,4.8,93.0,1.0,0.989,Low
KPI246,P019,Mosquée Communautaire,2025-09-30,-0.5,4,94.1,2,4.8,92.9,0.999,0.988,Low
KPI247,P019,Mosquée Communautaire,2025-10-31,-0.57,5,93.8,0,4.8,93.4,1.002,0.994,Low
KPI248,P019,Mosquée Communautaire,2025-11-30,-0.66,4,93.8,0,4.7,94.3,1.002,1.0,Low
KPI249,P019,Mosquée Communautaire,2025-12-31,-0.74,4,93.6,0,4.6,94.2,0.998,0.991,Low
KPI250,P019,Mosquée Communautaire,2026-01-31,-0.7,4,93.3,0,4.6,93.4,1.003,1.004,Low
KPI251,P019,Mosquée Communautaire,2026-02-28,-0.78,5,93.3,0,4.6,92.8,0.993,1.0,Low
KPI252,P020,Parc Industriel,2025-02-28,0.65,27,86.8,2,4.0,84.3,0.987,0.901,Medium
KPI253,P020,Parc Industriel,2025-03-31,0.78,28,86.7,0,4.1,84.3,0.983,0.901,Medium
KPI254,P020,Parc Industriel,2025-04-30,0.98,31,86.6,0,4.1,84.5,0.979,0.895,High
KPI255,P020,Parc Industriel,2025-05-31,1.09,34,86.8,0,4.1,83.9,0.981,0.896,High
KPI256,P020,Parc Industriel,2025-06-30,1.19,35,87.0,0,4.2,84.2,0.968,0.886,High
KPI257,P020,Parc Industriel,2025-07-31,1.38,39,87.3,2,4.2,84.8,0.963,0.876,High
KPI258,P020,Parc Industriel,2025-08-31,1.46,42,86.7,0,4.2,84.9,0.954,0.867,High
KPI259,P020,Parc Industriel,2025-09-30,1.55,43,86.5,0,4.2,85.1,0.945,0.863,High
KPI260,P020,Parc Industriel,2025-10-31,1.71,45,86.9,2,4.2,84.5,0.948,0.85,High
KPI261,P020,Parc Industriel,2025-11-30,1.91,47,87.3,1,4.1,84.8,0.942,0.838,High
KPI262,P020,Parc Industriel,2025-12-31,2.04,50,87.5,0,4.1,85.2,0.939,0.827,High
KPI263,P020,Parc Industriel,2026-01-31,2.26,52,87.2,0,4.0,85.4,0.933,0.817,High
KPI264,P020,Parc Industriel,2026-02-28,2.45,54,86.9,0,4.0,85.6,0.93,0.814,High
